,x,y
0,abandonned,abandoned
1,aberation,aberration
2,abilityes,abilities
3,abilties,abilities
4,abilty,ability
5,abondon,abandon
6,abbout,about
7,abotu,about
8,abouta,about a
9,aboutit,about it
10,aboutthe,about the
11,abscence,absence
12,abondoned,abandoned
13,abondoning,abandoning
14,abondons,abandons
15,aborigene,aborigine
16,accesories,accessories
17,accidant,accident
18,abortificant,abortifacient
19,abreviate,abbreviate
20,abreviated,abbreviated
21,abreviation,abbreviation
22,abritrary,arbitrary
23,absail,abseil
24,absailing,abseiling
25,absense,absence
26,absolutly,absolutely
27,absorbsion,absorption
28,absorbtion,absorption
29,abudance,abundance
30,abundacies,abundances
31,abundancies,abundances
32,abundunt,abundant
33,abutts,abuts
34,acadamy,academy
35,acadmic,academic
36,accademic,academic
37,accademy,academy
38,acccused,accused
39,accelleration,acceleration
40,accension,"accession, ascension"
41,acceptence,acceptance
42,acceptible,acceptable
43,accessable,accessible
44,acident,accident
45,accidentaly,accidentally
46,accidently,accidentally
47,acclimitization,acclimatization
48,accomadate,accommodate
49,accomadated,accommodated
50,accomadates,accommodates
51,accomadating,accommodating
52,accomadation,accommodation
53,accomadations,accommodations
54,accomdate,accommodate
55,accomodate,accommodate
56,accomodated,accommodated
57,accomodates,accommodates
58,accomodating,accommodating
59,accomodation,accommodation
60,accomodations,accommodations
61,accompanyed,accompanied
62,accordeon,accordion
63,accordian,accordion
64,accoring,according
65,accoustic,acoustic
66,accquainted,acquainted
67,accrediation,accreditation
68,accredidation,accreditation
69,accross,across
70,accussed,accused
71,acedemic,academic
72,acheive,achieve
73,acheived,achieved
74,acheivement,achievement
75,acheivements,achievements
76,acheives,achieves
77,acheiving,achieving
78,acheivment,achievement
79,acheivments,achievements
80,achievment,achievement
81,achievments,achievements
82,achive,"achieve, archive"
83,achived,"achieved, archived"
84,achivement,achievement
85,achivements,achievements
86,acknowldeged,acknowledged
87,acknowledgeing,acknowledging
88,ackward,"awkward, backward"
89,acommodate,accommodate
90,acomplish,accomplish
91,acomplished,accomplished
92,acomplishment,accomplishment
93,acomplishments,accomplishments
94,acording,according
95,acordingly,accordingly
96,acquaintence,acquaintance
97,acquaintences,acquaintances
98,acquiantence,acquaintance
99,acquiantences,acquaintances
100,acquited,acquitted
101,activites,activities
102,activly,actively
103,actualy,actually
104,acuracy,accuracy
105,acused,accused
106,acustom,accustom
107,acustommed,accustomed
108,adavanced,advanced
109,adbandon,abandon
110,addional,additional
111,addionally,additionally
112,additinally,additionally
113,additionaly,additionally
114,additonal,additional
115,additonally,additionally
116,addmission,admission
117,addopt,adopt
118,addopted,adopted
119,addoptive,adoptive
120,addres,"address, adders"
121,addresable,addressable
122,addresed,addressed
123,addresing,addressing
124,addressess,addresses
125,addtion,addition
126,addtional,additional
127,adecuate,adequate
128,adequit,adequate
129,adhearing,adhering
130,adherance,adherence
131,admendment,amendment
132,admininistrative,administrative
133,adminstered,administered
134,adminstrate,administrate
135,adminstration,administration
136,adminstrative,administrative
137,adminstrator,administrator
138,admissability,admissibility
139,admissable,admissible
140,admited,admitted
141,admitedly,admittedly
142,adn,and
143,adolecent,adolescent
144,adquire,acquire
