x,y
ytou,you
clasically,classically
avilable,available
essencial,essential
definining,defining
relevent,relevant
neccesary,necessary
metaphoricial,metaphorical
penisular,peninsular
ressurection,resurrection
modle,model
compatability,compatibility
testomony,testimony
crticised,criticised
compitent,competent
cannonical,canonical
sturcture,structure
realyl,really
surounding,surrounding
alledgedly,allegedly
sixtin,sistine
gnawwed,gnawed
interchangable,interchangeable
buring,burying
includng,including
offcers,officers
peageant,pageant
exept,except
skagerak,skagerrak
remenicent,reminiscent
coorperation,cooperation
pucini,puccini
dependance,dependence
remeber,remember
tolerence,tolerance
collegues,colleagues
harrased,harassed
choosen,chosen
reponsible,responsible
spriritual,spiritual
assitant,assistant
paticular,particular
dichtomy,dichotomy
whants,wants
assasinations,assassinations
succcesses,successes
armistace,armistice
mathamatics,mathematics
perseverence,perseverance
ocassionally,occasionally
satrical,satirical
strengtened,strengthened
jstu,just
pastural,pastoral
embezelled,embezzled
archetecturally,architecturally
captued,captured
dael,deal
hieroglph,hieroglyph
tendancies,tendencies
priveleged,privileged
harrasing,harassing
intrduced,introduced
assocation,association
dificulty,difficulty
pharoah,pharaoh
oftenly,often
proseletyzing,proselytizing
knwo,know
referemces,references
mohammedans,muslims
accomodate,accommodate
generaly,generally
soem,some
achived,achieved
discribed,described
consdider,consider
siezed,seized
comprimise,compromise
symmetricaly,symmetrically
temperture,temperature
relativly,relatively
temerature,temperature
dissapear,disappear
hertiage,heritage
aircaft,aircraft
emprisoned,imprisoned
threee,three
architecht,architect
hipopotamus,hippopotamus
whereever,wherever
interfereing,interfering
mispelling,misspelling
publihser,publisher
lattitude,latitude
alligned,aligned
disobediant,disobedient
acquited,acquitted
anual,annual
towrad,toward
doesnt,doesn t
refrence,reference
ammend,amend
retalitation,retaliation
tast,taste
tje,the
uncontitutional,unconstitutional
nutritent,nutrient
crucifiction,crucifixion
porshon,portion
signitories,signatories
clinicaly,clinically
seperately,separately
virtualy,virtually
rechargable,rechargeable
nightime,nighttime
archetecture,architecture
appartments,apartments
vaguaries,vagaries
demolision,demolition
propperly,properly
apprieciate,appreciate
cincinatti,cincinnati
nucular,nuclear
probablly,probably
challege,challenge
mkaing,making
indentical,identical
shrinked,shrunk
driectly,directly
usefuly,usefully
harrasments,harassments
gothenberg,gothenburg
perhpas,perhaps
intutively,intuitively
hydogen,hydrogen
lonly,lonely
exerpts,excerpts
finacial,financial
rythim,rhythm
populer,popular
quantaty,quantity
reccommend,recommend
regluar,regular
probelm,problem
corrisponds,corresponds
stradegies,strategies
ened,need
sepulcre,sepulchre
descripton,description
reminscent,reminiscent
commited,committed
stablility,stability
officals,officials
additonally,additionally
enthusiatic,enthusiastic
suphisticated,sophisticated
religously,religiously
dacquiri,daiquiri
rememberable,memorable
tenacles,tentacles
confidentally,confidentially
possesion,possession
papanicalou,papanicolaou
aquire,acquire
geneological,genealogical
benificial,beneficial
targetted,targeted
futhroc,futhark
devide,divide
assymetric,asymmetric
superceeded,superseded
roomate,roommate
transfered,transferred
asign,assign
tommorow,tomorrow
nuturing,nurturing
puplisher,publisher
enviornment,environment
geneology,genealogy
alusion,allusion
beatiful,beautiful
snese,sneeze
poweful,powerful
naieve,naive
manufacturedd,manufactured
morrocco,morocco
rewriet,rewrite
intertaining,entertaining
traditionaly,traditionally
comandos,commandos
occationally,occasionally
dramtic,dramatic
passerbys,passersby
subsquently,subsequently
unacompanied,unaccompanied
ecclectic,eclectic
dum,dumb
unwieldly,unwieldy
fomed,formed
sunglases,sunglasses
spoace,space
surveill,surveil
disiplined,disciplined
aquired,acquired
aproximately,approximately
comapany,company
veyr,very
launchs,launch
aswell,as well
postive,positive
proceding,proceeding
millenialism,millennialism
tennisplayer,tennis player
agressive,aggressive
heroe,hero
missonary,missionary
enviornmentalist,environmentalist
hertzs,hertz
infered,inferred
proclomation,proclamation
knowlege,knowledge
enxt,next
ecomonic,economic
listners,listeners
pratice,practice
cententenial,centennial
accomodation,accommodation
coudl,could
occassionally,occasionally
appenines,apennines
sufferring,suffering
exinct,extinct
amercia,america
estabishes,establishes
deparment,department
resteraunts,restaurants
beseiged,besieged
docrines,doctrines
interbread,interbreed
crutial,crucial
enviornmentally,environmentally
decideable,decidable
rennovate,renovate
omre,more
consolodate,consolidate
enlish,english
labatory,lavatory
faciliate,facilitate
comming,coming
symetrical,symmetrical
catapiller,caterpillar
purposedly,purposely
hesistant,hesitant
poety,poetry
carefull,careful
repubicans,republicans
improvision,improvisation
exculsivly,exclusively
volounteer,volunteer
refernces,references
embarassment,embarrassment
fertily,fertility
significently,significantly
freind,friend
assosication,assassination
drummless,drumless
mudering,murdering
impliment,implement
sophicated,sophisticated
thrid,third
particualr,particular
documenatry,documentary
airporta,airports
orginal,original
surprizing,surprising
encryptiion,encryption
performes,performed
unprecendented,unprecedented
deffined,defined
gauarana,guaran 
aircrafts,aircraft
exeptional,exceptional
millenium,millennium
dimenions,dimensions
pich,pitch
descisions,decisions
contaiminate,contaminate
jewllery,jewellery
contibuted,contributed
decress,decrees
racaus,raucous
mkea,make
otehr,other
commmemorated,commemorated
medevial,medieval
renewl,renewal
volcanoe,volcano
meerkrat,meerkat
oublisher,publisher
infalability,infallibility
decidely,decidedly
emmiting,emitting
themslves,themselves
enforceing,enforcing
breifly,briefly
accomodations,accommodations
galatic,galactic
emporer,emperor
agression,aggression
untill,until
fromed,formed
desintegration,disintegration
lastr,last
coverted,converted
potrait,portrait
tenacle,tentacle
repulics,republics
scientis,scientist
pinnaple,pineapple
burried,buried
hvea,have
hinderence,hindrance
ninties,    s
indite,indict
vell,well
praries,prairies
scandanavia,scandinavia
repubic,republic
unkown,unknown
toriodal,toroidal
fisionable,fissionable
competant,competent
shoudl,should
opression,oppression
gurantee,guarantee
knive,knife
vriety,variety
alowing,allowing
exagerrate,exaggerate
contians,contains
missisippi,mississippi
comemmorates,commemorates
triguered,triggered
eyars,years
prologomena,prolegomena
availaible,available
europian,european
precedessor,predecessor
comisions,commissions
recivership,receivership
eraticly,erratically
unsuprisingly,unsurprisingly
satelite,satellite
anohter,another
suppliementing,supplementing
coorperations,corporations
androgenous,androgynous
ocasionally,occasionally
poluting,polluting
calenders,calendars
regulaion,regulation
guerrilas,guerrillas
exagerrated,exaggerated
annualy,annually
comiting,committing
reponse,response
referenece,reference
carnigie,carnegie
neigbouring,neighbouring
develope,develop
unfortunatly,unfortunately
attitide,attitude
neglible,negligible
penatly,penalty
archimedian,archimedean
aquitted,acquitted
liasion,liaison
puchasing,purchasing
witht,with
opressive,oppressive
mathematicas,mathematics
arised,arose
harrassments,harassments
additinally,additionally
rehersal,rehearsal
sevice,service
excact,exact
specifiying,specifying
vegatarian,vegetarian
independendet,independent
appartment,apartment
abritrary,arbitrary
formallized,formalized
inmigrant,immigrant
sanhedrim,sanhedrin
benifits,benefits
firends,friends
crusies,cruises
carthagian,carthaginian
adminstrative,administrative
scirpt,script
subcatagory,subcategory
iritated,irritated
referrence,reference
anyhwere,anywhere
embarassed,embarrassed
excedded,exceeded
